time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,1.000,kick
468.75,2.000,0001,4,2,1.000,kick
937.5,3.000,1000,4,2,1.000,kick
1406.25,4.000,0001,4,2,1.000,kick
1875.0,5.000,",",-1,-1,1.000,separator
1875.0,5.000,0100,4,2,1.000,kick
2343.75,6.000,0010,4,2,1.000,kick
2812.5,7.000,0100,4,2,1.000,kick
3281.25,8.000,0010,4,2,1.000,kick
3750.0,9.000,",",-1,-1,1.000,separator
3750.0,9.000,1000,4,2,1.000,kick
4218.75,10.000,0001,4,2,1.000,kick
4687.5,11.000,1000,4,2,1.000,kick
5156.25,12.000,0001,4,2,1.000,kick
5625.0,13.000,",",-1,-1,1.000,separator
5625.0,13.000,0100,4,2,1.000,kick
6093.75,14.000,0010,4,2,1.000,kick
6562.5,15.000,0100,4,2,1.000,kick
7031.25,16.000,0010,4,2,1.000,kick
7500.0,17.000,",",-1,-1,1.000,separator
7500.0,17.000,1001,4,2,1.000,kick
7968.75,18.000,0000,0,2,0.000,unknown
8437.5,19.000,0110,4,2,0.900,snare
8906.25,20.000,0000,0,2,0.000,unknown
9375.0,21.000,",",-1,-1,1.000,separator
9375.0,21.000,1000,4,2,1.000,kick
9843.75,22.000,0100,4,2,0.900,snare
10312.5,23.000,0010,4,2,1.000,kick
10781.25,24.000,0001,4,2,0.900,snare
11250.0,25.000,",",-1,-1,1.000,separator
11250.0,25.000,1001,4,2,1.000,kick
11718.75,26.000,0100,4,2,0.900,snare
12187.5,27.000,1001,4,2,1.000,kick
12656.25,28.000,0010,4,2,0.900,snare
13125.0,29.000,",",-1,-1,1.000,separator
13125.0,29.000,1000,4,2,1.000,kick
13359.375,29.500,0000,0,3,0.000,unknown
13593.75,30.000,0100,4,2,0.900,snare
13828.125,30.500,0000,0,3,0.000,unknown
14062.5,31.000,0010,4,2,1.000,kick
14296.875,31.500,0000,0,3,0.000,unknown
14531.25,32.000,0001,4,2,0.900,snare
14765.625,32.500,0000,0,3,0.000,unknown
15000.0,33.000,",",-1,-1,1.000,separator
15000.0,33.000,1000,4,2,1.000,kick
15234.375,33.500,0010,4,3,0.800,hihat
15468.75,34.000,0001,4,2,0.900,snare
15703.125,34.500,0100,4,3,0.800,hihat
15937.5,35.000,1000,4,2,1.000,kick
16171.875,35.500,0010,4,3,0.800,hihat
16406.25,36.000,0001,4,2,0.900,snare
16640.625,36.500,0100,4,3,0.800,hihat
16875.0,37.000,",",-1,-1,1.000,separator
16875.0,37.000,1001,4,2,1.000,kick
17109.375,37.500,0000,0,3,0.000,unknown
17343.75,38.000,0110,4,2,0.900,snare
17578.125,38.500,0000,0,3,0.000,unknown
17812.5,39.000,1001,4,2,1.000,kick
18046.875,39.500,0000,0,3,0.000,unknown
18281.25,40.000,0110,4,2,0.900,snare
18515.625,40.500,0000,0,3,0.000,unknown
18750.0,41.000,",",-1,-1,1.000,separator
18750.0,41.000,0010,4,2,1.000,kick
18984.375,41.500,1000,4,3,0.800,melody
19218.75,42.000,0001,4,2,0.900,snare
19453.125,42.500,0100,4,3,0.800,melody
19687.5,43.000,0010,4,2,1.000,kick
19921.875,43.500,1000,4,3,0.800,melody
20156.25,44.000,0001,4,2,0.900,snare
20390.625,44.500,0100,4,3,0.800,melody
20625.0,45.000,",",-1,-1,1.000,separator
20625.0,45.000,1000,4,2,1.000,kick
20859.375,45.500,0010,4,3,0.800,hihat
21093.75,46.000,0100,4,2,0.900,snare
21328.125,46.500,0001,4,3,0.800,hihat
21562.5,47.000,1000,4,2,1.000,kick
21796.875,47.500,0010,4,3,0.800,hihat
22031.25,48.000,0100,4,2,0.900,snare
22265.625,48.500,0001,4,3,0.800,hihat
22500.0,49.000,",",-1,-1,1.000,separator
22500.0,49.000,0100,4,2,1.000,kick
22734.375,49.500,0001,4,3,0.800,hihat
22968.75,50.000,1000,4,2,0.900,snare
23203.125,50.500,0010,4,3,0.800,hihat
23437.5,51.000,0100,4,2,1.000,kick
23671.875,51.500,0001,4,3,0.800,hihat
23906.25,52.000,1000,4,2,0.900,snare
24140.625,52.500,0010,4,3,0.800,hihat
24375.0,53.000,",",-1,-1,1.000,separator
24375.0,53.000,1001,4,2,1.000,kick
24609.375,53.500,0110,4,3,0.800,snare
24843.75,54.000,1001,4,2,1.000,kick
25078.125,54.500,0110,4,3,0.800,snare
25312.5,55.000,1001,4,2,1.000,kick
25546.875,55.500,0110,4,3,0.800,snare
25781.25,56.000,1001,4,2,1.000,kick
26015.625,56.500,0110,4,3,0.800,snare
26250.0,57.000,",",-1,-1,1.000,separator
26250.0,57.000,1000,4,2,1.000,kick
26484.375,57.500,0010,4,3,0.800,hihat
26718.75,58.000,0100,4,2,0.900,snare
26953.125,58.500,0001,4,3,0.800,hihat
27187.5,59.000,1000,4,2,1.000,kick
27421.875,59.500,0010,4,3,0.800,hihat
27656.25,60.000,0100,4,2,0.900,snare
27890.625,60.500,0001,4,3,0.800,hihat
28125.0,61.000,",",-1,-1,1.000,separator
