onset_index,onset_ms
0,0.0
1,464.4
2,928.8
3,1393.2
4,1857.6
5,2322.0
6,2786.39
7,3250.79
8,3715.19
9,4179.59
10,4643.99
11,5108.39
12,5572.79
13,6037.19
14,6501.59
15,6965.99
16,7430.39
17,7894.78
18,8359.18
19,8823.58
20,9287.98
21,9752.38
22,10216.78
23,10681.18
24,11145.58
25,11609.98
26,12074.38
27,12538.78
28,13003.17
29,13467.57
30,13931.97
31,14396.37
32,14860.77
33,15325.17
34,15789.57
35,16253.97
36,16718.37
37,17182.77
38,17647.17
39,18111.56
40,18575.96
41,19040.36
42,19504.76
43,19969.16
44,20433.56
45,20897.96
46,21362.36
47,21826.76
48,22291.16
49,22755.56
50,23219.95
51,23684.35
52,24148.75
53,24613.15
54,25077.55
55,25541.95
56,26006.35
57,26470.75
58,26935.15
59,27399.55
60,27863.95
61,28328.34
62,28792.74
63,29257.14
64,29721.54
65,30185.94
66,30650.34
67,31114.74
68,31579.14
69,32043.54
70,32507.94
71,32972.34
72,33436.73
73,33901.13
74,34365.53
75,34829.93
76,35294.33
77,35758.73
78,36223.13
79,36687.53
80,37151.93
81,37616.33
82,38080.73
83,38545.12
84,39009.52
85,39473.92
86,39938.32
87,40402.72
88,40867.12
89,41331.52
90,41795.92
91,42260.32
92,42724.72
93,43189.12
94,43653.51
95,44117.91
96,44582.31
97,45046.71
98,45511.11
99,45975.51
100,46439.91
101,46904.31
102,47368.71
103,47833.11
104,48297.51
105,48761.9
106,49226.3
107,49690.7
108,50155.1
109,50619.5
110,51083.9
111,51548.3
112,52012.7
113,52477.1
114,52941.5
115,53405.9
116,53870.29
117,54334.69
118,54799.09
119,55263.49
120,55727.89
121,56192.29
122,56656.69
123,57121.09
124,57585.49
125,58049.89
126,58514.29
127,58978.68
128,59443.08
129,59907.48
130,60371.88
131,60836.28
132,61300.68
133,61765.08
134,62229.48
135,62693.88
136,63158.28
137,63622.68
138,64087.07
139,64551.47
140,65015.87
141,65480.27
142,65944.67
143,66409.07
144,66873.47
145,67337.87
146,67802.27
147,68266.67
148,68731.07
149,69195.46
150,69659.86
151,70124.26
152,70588.66
153,71053.06
154,71517.46
155,71981.86
156,72446.26
157,72910.66
158,73375.06
159,73839.46
160,74303.85
161,74768.25
162,75232.65
163,75697.05
164,76161.45
165,76625.85
166,77090.25
167,77554.65
168,78019.05
169,78483.45
170,78947.85
171,79412.24
172,79876.64
173,80341.04
174,80805.44
175,81269.84
176,81734.24
177,82198.64
178,82663.04
179,83127.44
180,83591.84
181,84056.24
182,84520.63
183,84985.03
184,85449.43
185,85913.83
186,86378.23
187,86842.63
188,87307.03
189,87771.43
190,88235.83
191,88700.23
192,89164.63
193,89629.02
194,90093.42
195,90557.82
196,91022.22
197,91486.62
198,91951.02
199,92415.42
200,92879.82
201,93344.22
202,93808.62
203,94273.02
204,94737.41
205,95201.81
206,95666.21
207,96130.61
208,96595.01
209,97059.41
210,97523.81
211,97988.21
212,98452.61
213,98917.01
214,99381.41
215,99845.8
216,100310.2
217,100774.6
218,101239.0
219,101703.4
220,102167.8
221,102632.2
222,103096.6
223,103561.0
224,104025.4
225,104489.8
226,104954.2
227,105418.59
228,105882.99
229,106347.39
230,106811.79
231,107276.19
232,107740.59
233,108204.99
234,108669.39
235,109133.79
236,109598.19
237,110062.59
238,110526.98
239,110991.38
240,111455.78
241,111920.18
242,112384.58
243,112848.98
244,113313.38
245,113777.78
246,114242.18
247,114706.58
248,115170.98
249,115635.37
250,116099.77
251,116564.17
252,117028.57
253,117492.97
254,117957.37
255,118421.77
256,118886.17
257,119350.57
258,119814.97
259,120279.37
260,120743.76
261,121208.16
262,121672.56
263,122136.96
264,122601.36
265,123065.76
266,123530.16
267,123994.56
268,124458.96
269,124923.36
270,125387.76
271,125852.15
272,126316.55
273,126780.95
274,127245.35
275,127709.75
276,128174.15
277,128638.55
278,129102.95
279,129567.35
280,130031.75
281,130496.15
282,130960.54
283,131424.94
284,131889.34
285,132353.74
286,132818.14
287,133282.54
288,133746.94
289,134211.34
290,134675.74
291,135140.14
292,135604.54
293,136068.93
294,136533.33
295,136997.73
296,137462.13
297,137926.53
298,138390.93
299,138855.33
300,139319.73
301,139784.13
302,140248.53
303,140712.93
304,141177.32
305,141641.72
306,142106.12
