# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
129.2,2.37,0.00,0.28,True,0101,0000-8.5%|0001-13.2%|0010-7.5%|0100-6.0%|1000-3.4%|0011-7.2%|0101-5.1%|0110-15.3%|1001-0.0%|1010-0.0%|1100-4.7%|0111-9.6%|1011-0.0%|1101-5.4%|1110-6.3%|1111-7.6%,0101,2.15
129.2,2.37,0.46,0.51|0.65|0.88,True,1111,0000-9.5%|0001-14.6%|0010-7.9%|0100-6.4%|1000-3.5%|0011-7.5%|0101-0.0%|0110-16.3%|1001-0.0%|1010-0.0%|1100-4.7%|0111-10.7%|1011-0.0%|1101-5.4%|1110-5.9%|1111-7.6%,1111,1.84
129.2,2.37,0.93,1.21|1.35,True,0111,0000-10.3%|0001-16.1%|0010-8.8%|0100-6.7%|1000-3.3%|0011-8.7%|0101-0.0%|0110-17.1%|1001-0.0%|1010-2.9%|1100-4.2%|0111-11.8%|1011-0.0%|1101-4.8%|1110-5.4%|1111-0.0%,0111,1.92
129.2,2.37,1.39,1.44|1.58|1.67,True,1110,0000-10.3%|0001-15.1%|0010-8.2%|0100-7.0%|1000-4.2%|0011-7.9%|0101-0.0%|0110-17.5%|1001-3.6%|1010-3.8%|1100-5.0%|0111-4.9%|1011-0.0%|1101-5.8%|1110-6.6%|1111-0.0%,1110,1.85
129.2,2.37,1.86,2.14,True,0111,0000-6.3%|0001-12.7%|0010-4.6%|0100-4.7%|1000-0.0%|0011-6.6%|0101-8.9%|0110-15.4%|1001-0.0%|1010-3.6%|1100-0.0%|0111-10.4%|1011-3.5%|1101-7.2%|1110-6.0%|1111-9.9%,0111,1.90
129.2,2.37,2.32,2.62,True,0101,0000-8.1%|0001-15.6%|0010-5.9%|0100-5.9%|1000-0.0%|0011-8.4%|0101-10.3%|0110-19.0%|1001-0.0%|1010-0.0%|1100-2.8%|0111-7.1%|1011-0.0%|1101-5.9%|1110-4.6%|1111-6.5%,0101,1.92
129.2,2.37,2.79,3.09,True,0011,0000-8.1%|0001-15.6%|0010-6.0%|0100-6.0%|1000-0.0%|0011-8.5%|0101-4.6%|0110-18.6%|1001-0.0%|1010-3.0%|1100-3.0%|0111-8.4%|1011-0.0%|1101-6.3%|1110-5.0%|1111-7.0%,0011,1.89
129.2,2.37,3.25,3.55,True,0110,0000-8.8%|0001-16.3%|0010-6.3%|0100-6.4%|1000-0.0%|0011-0.0%|0101-5.9%|0110-19.3%|1001-0.0%|1010-3.1%|1100-3.2%|0111-8.6%|1011-3.1%|1101-6.4%|1110-5.2%|1111-7.4%,0110,1.89
129.2,2.37,3.72,3.78|4.02,True,1101,0000-5.4%|0001-11.5%|0010-6.3%|0100-4.5%|1000-0.0%|0011-7.1%|0101-6.9%|0110-10.1%|1001-0.0%|1010-0.0%|1100-3.3%|0111-17.1%|1011-4.1%|1101-7.6%|1110-5.8%|1111-10.4%,1101,1.95
129.2,2.37,4.18,4.48,True,0101,0000-6.1%|0001-12.3%|0010-7.1%|0100-4.9%|1000-0.0%|0011-8.5%|0101-13.3%|0110-13.6%|1001-0.0%|1010-0.0%|1100-0.0%|0111-19.6%|1011-3.2%|1101-0.0%|1110-4.0%|1111-7.5%,0101,1.96
129.2,2.37,4.64,4.74|4.95,True,1111,0000-6.4%|0001-12.7%|0010-6.8%|0100-5.1%|1000-0.0%|0011-7.8%|0101-6.2%|0110-13.2%|1001-0.0%|1010-0.0%|1100-0.0%|0111-19.5%|1011-3.2%|1101-0.0%|1110-4.0%|1111-15.1%,1111,1.96
129.2,2.37,5.11,5.43,True,0000,0000-6.4%|0001-12.4%|0010-7.3%|0100-5.3%|1000-0.0%|0011-8.5%|0101-7.6%|0110-13.7%|1001-0.0%|1010-0.0%|1100-0.0%|0111-26.6%|1011-3.1%|1101-0.0%|1110-3.7%|1111-5.4%,0000,1.96
129.2,2.37,5.57,5.67|5.85|5.90,True,0110,0000-6.8%|0001-11.5%|0010-5.6%|0100-5.6%|1000-0.0%|0011-6.2%|0101-6.8%|0110-12.6%|1001-0.0%|1010-0.0%|1100-4.1%|0111-18.2%|1011-0.0%|1101-3.9%|1110-11.2%|1111-7.5%,0110,2.09
129.2,2.37,6.04,6.36,True,0010,0000-7.5%|0001-12.3%|0010-6.1%|0100-6.0%|1000-0.0%|0011-7.2%|0101-6.8%|0110-6.8%|1001-0.0%|1010-0.0%|1100-3.7%|0111-28.3%|1011-0.0%|1101-0.0%|1110-9.4%|1111-6.0%,0010,2.09
129.2,2.37,6.50,6.59|6.80,True,0000,0000-7.0%|0001-11.3%|0010-0.0%|0100-5.9%|1000-0.0%|0011-6.4%|0101-11.2%|0110-8.1%|1001-0.0%|1010-0.0%|1100-3.9%|0111-26.7%|1011-0.0%|1101-3.4%|1110-9.8%|1111-6.3%,0000,2.09
