time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,1,2,1.000,kick
468.75,1.000,0000,0,2,0.000,unknown
937.5,2.000,0000,0,2,0.000,unknown
1406.25,3.000,0000,0,2,0.000,unknown
1875.0,4.000,",",-1,-1,1.000,separator
1875.0,4.000,0100,1,2,1.000,kick
2343.75,5.000,0000,0,2,0.000,unknown
2812.5,6.000,0000,0,2,0.000,unknown
3281.25,7.000,0000,0,2,0.000,unknown
3750.0,8.000,",",-1,-1,1.000,separator
3750.0,8.000,0010,1,2,1.000,kick
4218.75,9.000,0000,0,2,0.000,unknown
4687.5,10.000,0000,0,2,0.000,unknown
5156.25,11.000,0000,0,2,0.000,unknown
5625.0,12.000,",",-1,-1,1.000,separator
5625.0,12.000,0001,1,2,1.000,kick
6093.75,13.000,0000,0,2,0.000,unknown
6562.5,14.000,0000,0,2,0.000,unknown
7031.25,15.000,0000,0,2,0.000,unknown
7500.0,16.000,",",-1,-1,1.000,separator
7500.0,16.000,1000,1,2,1.000,kick
7968.75,17.000,0000,0,2,0.000,unknown
8437.5,18.000,0000,0,2,0.000,unknown
8906.25,19.000,0000,0,2,0.000,unknown
9375.0,20.000,",",-1,-1,1.000,separator
9375.0,20.000,0100,1,2,1.000,kick
9843.75,21.000,0000,0,2,0.000,unknown
10312.5,22.000,0000,0,2,0.000,unknown
10781.25,23.000,0000,0,2,0.000,unknown
11250.0,24.000,",",-1,-1,1.000,separator
11250.0,24.000,0010,1,2,1.000,kick
11718.75,25.000,0000,0,2,0.000,unknown
12187.5,26.000,0000,0,2,0.000,unknown
12656.25,27.000,0000,0,2,0.000,unknown
13125.0,28.000,",",-1,-1,1.000,separator
13125.0,28.000,0001,1,2,1.000,kick
13593.75,29.000,0000,0,2,0.000,unknown
14062.5,30.000,0000,0,2,0.000,unknown
14531.25,31.000,0000,0,2,0.000,unknown
15000.0,32.000,",",-1,-1,1.000,separator
15000.0,32.000,1000,2,2,1.000,kick
15468.75,33.000,0100,2,2,1.000,snare
15937.5,34.000,0010,2,2,1.000,kick
16406.25,35.000,0001,2,2,1.000,snare
16875.0,36.000,",",-1,-1,1.000,separator
16875.0,36.000,1000,2,2,1.000,kick
17343.75,37.000,0100,2,2,1.000,snare
17812.5,38.000,0010,2,2,1.000,kick
18281.25,39.000,0001,2,2,1.000,snare
18750.0,40.000,",",-1,-1,1.000,separator
18750.0,40.000,1000,2,2,1.000,kick
19218.75,41.000,0100,2,2,1.000,snare
19687.5,42.000,0010,2,2,1.000,kick
20156.25,43.000,0001,2,2,1.000,snare
20625.0,44.000,",",-1,-1,1.000,separator
20625.0,44.000,1000,2,2,1.000,kick
21093.75,45.000,0100,2,2,1.000,snare
21562.5,46.000,0010,2,2,1.000,kick
22031.25,47.000,0001,2,2,1.000,snare
22500.0,48.000,",",-1,-1,1.000,separator
22500.0,48.000,1000,2,2,1.000,kick
22968.75,49.000,0100,2,2,1.000,snare
23437.5,50.000,0010,2,2,1.000,kick
23906.25,51.000,0001,2,2,1.000,snare
24375.0,52.000,",",-1,-1,1.000,separator
24375.0,52.000,1000,2,2,1.000,kick
24843.75,53.000,0100,2,2,1.000,snare
25312.5,54.000,0010,2,2,1.000,kick
25781.25,55.000,0001,2,2,1.000,snare
26250.0,56.000,",",-1,-1,1.000,separator
26250.0,56.000,1000,2,2,1.000,kick
26718.75,57.000,0100,2,2,1.000,snare
27187.5,58.000,0010,2,2,1.000,kick
27656.25,59.000,0001,2,2,1.000,snare
28125.0,60.000,",",-1,-1,1.000,separator
28125.0,60.000,1000,2,2,1.000,kick
28593.75,61.000,0100,2,2,1.000,snare
29062.5,62.000,0010,2,2,1.000,kick
29531.25,63.000,0001,2,2,1.000,snare
30000.0,64.000,",",-1,-1,1.000,separator
30000.0,64.000,1000,2,2,1.000,kick
30468.75,65.000,0100,2,2,1.000,snare
30937.5,66.000,0010,2,2,1.000,kick
31406.25,67.000,0001,2,2,1.000,snare
31875.0,68.000,",",-1,-1,1.000,separator
31875.0,68.000,1000,2,2,1.000,kick
32343.75,69.000,0100,2,2,1.000,snare
32812.5,70.000,0010,2,2,1.000,kick
33281.25,71.000,0001,2,2,1.000,snare
33750.0,72.000,",",-1,-1,1.000,separator
33750.0,72.000,1000,2,2,1.000,kick
34218.75,73.000,0100,2,2,1.000,snare
34687.5,74.000,0010,2,2,1.000,kick
35156.25,75.000,0001,2,2,1.000,snare
35625.0,76.000,",",-1,-1,1.000,separator
35625.0,76.000,1000,2,2,1.000,kick
36093.75,77.000,0100,2,2,1.000,snare
36562.5,78.000,0010,2,2,1.000,kick
37031.25,79.000,0001,2,2,1.000,snare
37500.0,80.000,",",-1,-1,1.000,separator
37500.0,80.000,1000,2,2,1.000,kick
37968.75,81.000,0100,2,2,1.000,snare
38437.5,82.000,0010,2,2,1.000,kick
38906.25,83.000,0001,2,2,1.000,snare
39375.0,84.000,",",-1,-1,1.000,separator
39375.0,84.000,1000,2,2,1.000,kick
39843.75,85.000,0100,2,2,1.000,snare
40312.5,86.000,0010,2,2,1.000,kick
40781.25,87.000,0001,2,2,1.000,snare
41250.0,88.000,",",-1,-1,1.000,separator
41250.0,88.000,1000,2,2,1.000,kick
41718.75,89.000,0100,2,2,1.000,snare
42187.5,90.000,0010,2,2,1.000,kick
42656.25,91.000,0001,2,2,1.000,snare
43125.0,92.000,",",-1,-1,1.000,separator
43125.0,92.000,1000,2,2,1.000,kick
43593.75,93.000,0100,2,2,1.000,snare
44062.5,94.000,0010,2,2,1.000,kick
44531.25,95.000,0001,2,2,1.000,snare
45000.0,96.000,",",-1,-1,1.000,separator
45000.0,96.000,1000,2,2,1.000,kick
45468.75,97.000,0100,2,2,1.000,snare
45937.5,98.000,0010,2,2,1.000,kick
46406.25,99.000,0001,2,2,1.000,snare
46875.0,100.000,",",-1,-1,1.000,separator
46875.0,100.000,1000,2,2,1.000,kick
47343.75,101.000,0100,2,2,1.000,snare
47812.5,102.000,0010,2,2,1.000,kick
48281.25,103.000,0001,2,2,1.000,snare
48750.0,104.000,",",-1,-1,1.000,separator
48750.0,104.000,1000,2,2,1.000,kick
49218.75,105.000,0100,2,2,1.000,snare
49687.5,106.000,0010,2,2,1.000,kick
50156.25,107.000,0001,2,2,1.000,snare
50625.0,108.000,",",-1,-1,1.000,separator
50625.0,108.000,1000,2,2,1.000,kick
51093.75,109.000,0100,2,2,1.000,snare
51562.5,110.000,0010,2,2,1.000,kick
52031.25,111.000,0001,2,2,1.000,snare
52500.0,112.000,",",-1,-1,1.000,separator
52500.0,112.000,1000,2,2,1.000,kick
52968.75,113.000,0100,2,2,1.000,snare
53437.5,114.000,0010,2,2,1.000,kick
53906.25,115.000,0001,2,2,1.000,snare
54375.0,116.000,",",-1,-1,1.000,separator
54375.0,116.000,1000,2,2,1.000,kick
54843.75,117.000,0100,2,2,1.000,snare
55312.5,118.000,0010,2,2,1.000,kick
55781.25,119.000,0001,2,2,1.000,snare
56250.0,120.000,",",-1,-1,1.000,separator
56250.0,120.000,1000,2,2,1.000,kick
56718.75,121.000,0100,2,2,1.000,snare
57187.5,122.000,0010,2,2,1.000,kick
57656.25,123.000,0001,2,2,1.000,snare
58125.0,124.000,",",-1,-1,1.000,separator
58125.0,124.000,1000,2,2,1.000,kick
58593.75,125.000,0100,2,2,1.000,snare
59062.5,126.000,0010,2,2,1.000,kick
59531.25,127.000,0001,2,2,1.000,snare
60000.0,128.000,",",-1,-1,1.000,separator
60000.0,128.000,1000,2,2,1.000,kick
60468.75,129.000,0100,2,2,1.000,snare
60937.5,130.000,0010,2,2,1.000,kick
61406.25,131.000,0001,2,2,1.000,snare
61875.0,132.000,",",-1,-1,1.000,separator
61875.0,132.000,1000,2,2,1.000,kick
62343.75,133.000,0100,2,2,1.000,snare
62812.5,134.000,0010,2,2,1.000,kick
63281.25,135.000,0001,2,2,1.000,snare
63750.0,136.000,",",-1,-1,1.000,separator
63750.0,136.000,1000,2,2,1.000,kick
64218.75,137.000,0100,2,2,1.000,snare
64687.5,138.000,0010,2,2,1.000,kick
65156.25,139.000,0001,2,2,1.000,snare
65625.0,140.000,",",-1,-1,1.000,separator
65625.0,140.000,1000,2,2,1.000,kick
66093.75,141.000,0100,2,2,1.000,snare
66562.5,142.000,0010,2,2,1.000,kick
67031.25,143.000,0001,2,2,1.000,snare
67500.0,144.000,",",-1,-1,1.000,separator
67500.0,144.000,1000,2,2,1.000,kick
67968.75,145.000,0100,2,2,1.000,snare
68437.5,146.000,0010,2,2,1.000,kick
68906.25,147.000,0001,2,2,1.000,snare
69375.0,148.000,",",-1,-1,1.000,separator
69375.0,148.000,1000,2,2,1.000,kick
69843.75,149.000,0100,2,2,1.000,snare
70312.5,150.000,0010,2,2,1.000,kick
70781.25,151.000,0001,2,2,1.000,snare
71250.0,152.000,",",-1,-1,1.000,separator
71250.0,152.000,1000,2,2,1.000,kick
71718.75,153.000,0100,2,2,1.000,snare
72187.5,154.000,0010,2,2,1.000,kick
72656.25,155.000,0001,2,2,1.000,snare
73125.0,156.000,",",-1,-1,1.000,separator
73125.0,156.000,1000,2,2,1.000,kick
73593.75,157.000,0100,2,2,1.000,snare
74062.5,158.000,0010,2,2,1.000,kick
74531.25,159.000,0001,2,2,1.000,snare
75000.0,160.000,",",-1,-1,1.000,separator
75000.0,160.000,1000,2,2,1.000,kick
75468.75,161.000,0100,2,2,1.000,snare
