time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.980,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.850,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,0100,4,2,0.950,kick
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0010,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,0001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0100,4,3,0.880,snare
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,1000,4,2,0.900,kick
1625.0,4.250,1100,3,3,0.750,melody
1750.0,4.500,0010,4,3,0.800,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
2125.0,5.250,1000,4,2,0.950,kick
2250.0,5.500,0000,0,3,1.000,unknown
2375.0,5.750,0010,4,3,0.850,snare
2500.0,6.000,0100,4,2,0.930,kick
2625.0,6.250,0001,3,3,0.780,melody
2750.0,6.500,0010,4,3,0.820,snare
2875.0,6.750,0000,0,3,1.000,unknown
3000.0,7.000,1001,4,2,0.960,kick
3125.0,7.250,0000,0,3,1.000,unknown
3250.0,7.500,0100,4,3,0.880,snare
3375.0,7.750,0000,0,3,1.000,unknown
3500.0,8.000,0010,4,2,0.900,kick
3625.0,8.250,0000,0,3,1.000,unknown
3750.0,8.500,0100,4,3,0.820,snare
3875.0,8.750,1111,3,4,0.720,melody
4000.0,9.000,",",-1,-1,1.000,separator
70000.0,141.000,1001,4,2,0.990,kick
70250.0,141.500,0110,4,3,0.900,snare
70500.0,142.000,1000,4,2,0.950,kick
70750.0,142.500,0011,4,3,0.880,snare
71000.0,143.000,",",-1,-1,1.000,separator
141000.0,283.000,1000,4,2,0.980,kick
141250.0,283.500,0000,0,3,1.000,unknown
141500.0,284.000,0100,4,2,0.950,snare
141750.0,284.500,0000,0,3,1.000,unknown
142000.0,285.000,1111,1,0,1.000,melody
142250.0,285.500,0000,0,3,1.000,unknown
142300.0,285.600,",",-1,-1,1.000,separator
