time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,0000,0,2,1.000,unknown
428.6,1.000,0000,0,2,1.000,unknown
857.1,2.000,0000,0,2,1.000,unknown
1285.7,3.000,0000,0,2,1.000,unknown
1714.3,4.000,",",-1,-1,1.000,separator
1714.3,4.000,1000,1,2,0.950,kick
2142.9,5.000,0000,0,2,0.000,unknown
2571.4,6.000,1000,1,2,0.950,kick
3000.0,7.000,0000,0,2,0.000,unknown
3428.6,8.000,",",-1,-1,1.000,separator
3428.6,8.000,1000,1,2,0.950,kick
3857.1,9.000,0000,0,2,0.000,unknown
4285.7,10.000,1000,1,2,0.950,kick
4714.3,11.000,0000,0,2,0.000,unknown
5142.9,12.000,",",-1,-1,1.000,separator
5142.9,12.000,1000,1,2,0.950,kick
5571.4,13.000,0000,0,2,0.000,unknown
6000.0,14.000,1000,1,2,0.950,kick
6428.6,15.000,0000,0,2,0.000,unknown
6857.1,16.000,",",-1,-1,1.000,separator
6857.1,16.000,1000,1,2,0.950,kick
7285.7,17.000,0000,0,2,0.000,unknown
7714.3,18.000,1000,1,2,0.950,kick
8142.9,19.000,0000,0,2,0.000,unknown
8571.4,20.000,",",-1,-1,1.000,separator
8571.4,20.000,1000,1,2,0.950,kick
9000.0,21.000,0000,0,2,0.000,unknown
9428.6,22.000,1000,1,2,0.950,kick
9857.1,23.000,0000,0,2,0.000,unknown
10285.7,24.000,",",-1,-1,1.000,separator
10285.7,24.000,1000,1,2,0.950,kick
10714.3,25.000,0000,0,2,0.000,unknown
11142.9,26.000,1000,1,2,0.950,kick
11571.4,27.000,0000,0,2,0.000,unknown
12000.0,28.000,",",-1,-1,1.000,separator
12000.0,28.000,1000,1,2,0.950,kick
12428.6,29.000,0000,0,2,0.000,unknown
12857.1,30.000,1000,1,2,0.950,kick
13285.7,31.000,0000,0,2,0.000,unknown
13714.3,32.000,",",-1,-1,1.000,separator
13714.3,32.000,1000,1,3,0.950,kick
13928.6,32.500,0001,3,3,0.800,synth
14142.9,33.000,0100,4,3,0.900,snare
14357.1,33.500,0010,3,3,0.800,synth
14571.4,34.000,1000,1,3,0.950,kick
14785.7,34.500,0001,3,3,0.800,synth
15000.0,35.000,0100,4,3,0.900,snare
15214.3,35.500,0010,3,3,0.800,synth
15428.6,36.000,",",-1,-1,1.000,separator
15428.6,36.000,1000,1,3,0.950,kick
15642.9,36.500,0010,3,3,0.800,synth
15857.1,37.000,0001,4,3,0.900,snare
16071.4,37.500,0100,3,3,0.800,synth
16285.7,38.000,1000,1,3,0.950,kick
16500.0,38.500,0010,3,3,0.800,synth
16714.3,39.000,0001,4,3,0.900,snare
16928.6,39.500,0100,3,3,0.800,synth
17142.9,40.000,",",-1,-1,1.000,separator
17142.9,40.000,1000,1,3,0.950,kick
17357.1,40.500,0001,3,3,0.800,synth
17571.4,41.000,0100,4,3,0.900,snare
17785.7,41.500,0010,3,3,0.800,synth
