time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.900,kick
468.75,2.000,0100,2,2,0.800,synth
937.5,3.000,0001,2,2,0.900,kick
1406.25,4.000,0010,2,2,0.800,synth
1875.0,5.000,",",-1,-1,1.000,separator
1875.0,5.000,1000,4,2,0.900,kick
2343.75,6.000,0010,2,2,0.800,synth
2812.5,7.000,0100,2,2,0.900,kick
3281.25,8.000,0001,2,2,0.800,synth
3750.0,9.000,",",-1,-1,1.000,separator
3750.0,9.000,1000,4,2,0.900,kick
4218.75,10.000,0100,2,2,0.850,snare
4687.5,11.000,0010,2,2,0.900,kick
5156.25,12.000,0001,2,2,0.850,snare
5625.0,13.000,",",-1,-1,1.000,separator
5625.0,13.000,0100,4,2,0.900,kick
6093.75,14.000,0010,2,2,0.850,snare
6562.5,15.000,1000,2,2,0.900,kick
7031.25,16.000,0001,2,2,0.850,snare
7500.0,17.000,",",-1,-1,1.000,separator
7500.0,17.000,1000,4,2,0.900,kick
7968.75,18.000,0010,2,2,0.800,snare
8437.5,19.000,0100,2,2,0.900,kick
8906.25,20.000,0001,2,2,0.800,snare
9375.0,21.000,",",-1,-1,1.000,separator
9375.0,21.000,0010,4,2,0.900,kick
9843.75,22.000,1000,2,2,0.800,snare
10312.5,23.000,0001,2,2,0.900,kick
10781.25,24.000,0100,2,2,0.800,snare
11250.0,25.000,",",-1,-1,1.000,separator
11250.0,25.000,1001,4,2,0.950,kick
11718.75,26.000,0100,2,2,0.850,snare
12187.5,27.000,0010,2,2,0.900,kick
12656.25,28.000,1000,2,2,0.850,snare
13125.0,29.000,",",-1,-1,1.000,separator
13125.0,29.000,0001,4,2,0.900,kick
13593.75,30.000,0010,2,2,0.850,snare
14062.5,31.000,0100,2,2,0.900,kick
14531.25,32.000,1000,2,2,0.850,snare
15000.0,33.000,",",-1,-1,1.000,separator
15000.0,33.000,1000,4,2,0.900,kick
15234.375,33.500,0000,0,3,1.000,unknown
15468.75,34.000,0010,2,2,0.800,hihat
15703.125,34.500,0000,0,3,1.000,unknown
15937.5,35.000,0100,2,2,0.900,kick
16171.875,35.500,0000,0,3,1.000,unknown
