onset_index,onset_ms
0,208.98
1,464.4
2,592.11
3,801.09
4,928.8
5,1161.0
6,1300.32
7,1381.59
8,1532.52
9,1625.4
10,2113.02
11,2577.41
12,3053.42
13,3494.6
14,3738.41
15,3982.22
16,4458.23
17,4690.43
18,4922.63
19,5398.64
20,5596.01
21,5793.38
22,5863.04
23,6327.44
24,6559.64
25,6757.01
26,6791.84
27,7244.63
28,7488.44
29,7697.41
30,7732.24
31,8185.03
32,8440.45
33,8614.6
34,8672.65
35,9125.44
36,9380.86
37,9566.62
38,9613.06
39,10077.46
40,10309.66
41,10495.42
42,10541.86
43,11006.26
44,11250.07
45,11435.83
46,11482.27
47,11958.28
48,12178.87
49,12387.85
50,12422.68
51,12887.07
52,13130.88
53,13316.64
54,13363.08
55,13827.48
56,14059.68
57,14245.44
58,14291.88
59,14767.89
60,15000.09
61,15197.46
62,15232.29
63,15708.3
64,15940.5
65,16172.7
66,16509.39
67,16637.1
68,17113.11
69,17438.19
70,17589.12
71,17798.1
72,18053.51
73,18494.69
74,18993.92
75,19319.0
76,19446.71
77,19690.52
78,19922.72
79,20375.51
80,20642.54
81,20863.13
82,21199.82
83,21339.14
84,21559.73
85,21803.54
86,22244.72
87,22511.75
88,22743.95
89,23080.63
90,23208.34
91,23440.54
92,23672.74
93,24148.75
94,24613.15
95,24938.23
96,25077.55
97,25309.75
98,25553.56
99,25994.74
100,26482.36
101,26819.05
102,26958.37
103,27178.96
104,27399.55
105,27898.78
106,28363.17
107,28711.47
108,28827.57
109,29071.38
110,29303.58
111,29756.37
112,30023.4
113,30243.99
114,30569.07
115,30696.78
116,30928.98
117,31172.79
118,31637.19
119,31857.78
120,31985.49
121,32101.59
122,32229.3
123,32461.5
124,32577.6
125,32809.8
126,33030.39
127,33506.39
128,33750.2
129,33970.79
130,34168.16
131,34319.09
132,34446.8
133,34655.78
134,34899.59
135,35375.6
136,35642.63
137,35840.0
138,36095.42
139,36199.91
140,36339.23
141,36548.21
142,36768.8
143,37256.42
144,37511.84
145,37732.43
146,37964.63
147,38080.73
148,38208.44
149,38417.41
150,38661.22
151,38754.1
152,39114.01
153,39520.36
154,39555.19
155,39590.02
156,39694.51
157,39787.39
158,39822.22
159,39926.71
160,40066.03
161,40298.23
162,40518.82
163,41018.05
164,41261.86
165,41459.23
166,41830.75
167,41958.46
168,42179.05
169,42411.25
170,42875.65
171,43340.05
172,43699.95
173,43827.66
174,44059.86
175,44280.45
176,44756.46
177,45000.27
178,45093.15
179,45197.64
180,45453.06
181,45592.38
182,45662.04
183,45940.68
184,46184.49
185,46614.06
186,46881.09
187,47101.68
188,47449.98
189,47577.69
190,47821.5
191,48042.09
192,48506.49
193,48982.49
194,49319.18
195,49446.89
196,49690.7
197,49922.9
198,50352.47
199,50619.5
200,50863.31
201,51188.39
202,51316.1
203,51559.91
204,51745.67
205,51792.11
206,52268.12
207,52361.0
208,52488.71
209,52593.2
210,52686.08
211,52732.52
212,52918.28
213,53034.38
214,53104.04
215,53173.7
216,53289.8
217,53371.07
218,53429.12
219,53672.93
220,53916.73
221,54601.72
222,54961.63
223,55321.54
224,55530.52
225,55994.92
226,56470.93
227,56830.84
228,56970.16
229,57190.75
230,57422.95
231,57864.13
232,58107.94
233,58351.75
234,58711.66
235,58804.54
236,59048.34
237,59303.76
238,59756.55
239,60000.36
240,60244.17
241,60673.74
242,60940.77
243,61637.37
244,62461.68
245,62798.37
246,62995.74
247,63936.15
248,64179.95
249,64423.76
250,64911.38
251,66142.04
