time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,1.000,kick
468.75,2.000,0000,0,2,1.000,unknown
937.5,3.000,0000,0,2,1.000,unknown
1406.25,4.000,0000,0,2,1.000,unknown
1875.0,5.000,",",-1,-1,1.000,separator
1875.0,5.000,0001,4,2,1.000,kick
2343.75,6.000,0000,0,2,1.000,unknown
2812.5,7.000,0000,0,2,1.000,unknown
3281.25,8.000,0000,0,2,1.000,unknown
3750.0,9.000,",",-1,-1,1.000,separator
3750.0,9.000,0100,4,2,1.000,kick
4218.75,10.000,0000,0,2,1.000,unknown
4687.5,11.000,0000,0,2,1.000,unknown
5156.25,12.000,0000,0,2,1.000,unknown
5625.0,13.000,",",-1,-1,1.000,separator
5625.0,13.000,0010,4,2,1.000,kick
6093.75,14.000,0000,0,2,1.000,unknown
6562.5,15.000,0000,0,2,1.000,unknown
7031.25,16.000,0000,0,2,1.000,unknown
7500.0,17.000,",",-1,-1,1.000,separator
7500.0,17.000,1000,4,2,1.000,kick
7968.75,18.000,0000,0,2,1.000,unknown
8437.5,19.000,0000,0,2,1.000,unknown
8906.25,20.000,0000,0,2,1.000,unknown
9375.0,21.000,",",-1,-1,1.000,separator
9375.0,21.000,0001,4,2,1.000,kick
9843.75,22.000,0000,0,2,1.000,unknown
10312.5,23.000,0000,0,2,1.000,unknown
10781.25,24.000,0000,0,2,1.000,unknown
11250.0,25.000,",",-1,-1,1.000,separator
11250.0,25.000,0100,4,2,1.000,kick
11718.75,26.000,0000,0,2,1.000,unknown
12187.5,27.000,0000,0,2,1.000,unknown
12656.25,28.000,0000,0,2,1.000,unknown
13125.0,29.000,",",-1,-1,1.000,separator
13125.0,29.000,0010,4,2,1.000,kick
13593.75,30.000,0000,0,2,1.000,unknown
14062.5,31.000,0000,0,2,1.000,unknown
14531.25,32.000,0000,0,2,1.000,unknown
15000.0,33.000,",",-1,-1,1.000,separator
15000.0,33.000,1000,4,2,0.900,kick
15468.75,34.000,0000,0,2,1.000,unknown
15937.5,35.000,0010,4,2,0.800,snare
16406.25,36.000,0000,0,2,1.000,unknown
16875.0,37.000,",",-1,-1,1.000,separator
16875.0,37.000,0100,4,2,0.900,kick
17343.75,38.000,0000,0,2,1.000,unknown
17812.5,39.000,0001,4,2,0.800,snare
18281.25,40.000,0000,0,2,1.000,unknown
18750.0,41.000,",",-1,-1,1.000,separator
18750.0,41.000,0010,4,2,0.900,kick
19218.75,42.000,0000,0,2,1.000,unknown
19687.5,43.000,1000,4,2,0.800,snare
20156.25,44.000,0000,0,2,1.000,unknown
20625.0,45.000,",",-1,-1,1.000,separator
20625.0,45.000,0001,4,2,0.900,kick
21093.75,46.000,0000,0,2,1.000,unknown
21562.5,47.000,0100,4,2,0.800,snare
22031.25,48.000,0000,0,2,1.000,unknown
22500.0,49.000,",",-1,-1,1.000,separator
22500.0,49.000,1000,4,2,0.900,kick
22968.75,50.000,0000,0,2,1.000,unknown
23437.5,51.000,0010,4,2,0.800,snare
23906.25,52.000,0000,0,2,1.000,unknown
24375.0,53.000,",",-1,-1,1.000,separator
24375.0,53.000,0100,4,2,0.900,kick
24843.75,54.000,0000,0,2,1.000,unknown
25312.5,55.000,0001,4,2,0.800,snare
25781.25,56.000,0000,0,2,1.000,unknown
26250.0,57.000,",",-1,-1,1.000,separator
26250.0,57.000,0010,4,2,0.900,kick
26718.75,58.000,0000,0,2,1.000,unknown
27187.5,59.000,1000,4,2,0.800,snare
27656.25,60.000,0000,0,2,1.000,unknown
28125.0,61.000,",",-1,-1,1.000,separator
28125.0,61.000,0001,4,2,0.900,kick
28593.75,62.000,0000,0,2,1.000,unknown
29062.5,63.000,0100,4,2,0.800,snare
29531.25,64.000,0000,0,2,1.000,unknown
30000.0,65.000,",",-1,-1,1.000,separator
30000.0,65.000,1000,4,2,0.950,kick
30468.75,66.000,0100,4,2,0.950,snare
30937.5,67.000,0010,4,2,0.950,kick
31406.25,68.000,0001,4,2,0.950,snare
31875.0,69.000,",",-1,-1,1.000,separator
31875.0,69.000,1000,4,2,0.950,kick
32343.75,70.000,0010,4,2,0.950,snare
32812.5,71.000,0100,4,2,0.950,kick
33281.25,72.000,0001,4,2,0.950,snare
33750.0,73.000,",",-1,-1,1.000,separator
33750.0,73.000,0100,4,2,0.950,kick
34218.75,74.000,1000,4,2,0.950,snare
34687.5,75.000,0001,4,2,0.950,kick
35156.25,76.000,0010,4,2,0.950,snare
35625.0,77.000,",",-1,-1,1.000,separator
35625.0,77.000,0001,4,2,0.950,kick
36093.75,78.000,0010,4,2,0.950,snare
36562.5,79.000,1000,4,2,0.950,kick
37031.25,80.000,0100,4,2,0.950,snare
37500.0,81.000,",",-1,-1,1.000,separator
37500.0,81.000,1000,4,2,0.950,kick
37968.75,82.000,0100,4,2,0.950,snare
38437.5,83.000,0010,4,2,0.950,kick
38906.25,84.000,0001,4,2,0.950,snare
39375.0,85.000,",",-1,-1,1.000,separator
39375.0,85.000,1000,4,2,0.950,kick
39843.75,86.000,0010,4,2,0.950,snare
40312.5,87.000,0100,4,2,0.950,kick
40781.25,88.000,0001,4,2,0.950,snare
41250.0,89.000,",",-1,-1,1.000,separator
41250.0,89.000,0100,4,2,0.950,kick
41718.75,90.000,1000,4,2,0.950,snare
42187.5,91.000,0001,4,2,0.950,kick
42656.25,92.000,0010,4,2,0.950,snare
43125.0,93.000,",",-1,-1,1.000,separator
43125.0,93.000,0001,4,2,0.950,kick
43593.75,94.000,0010,4,2,0.950,snare
44062.5,95.000,1000,4,2,0.950,kick
44531.25,96.000,0100,4,2,0.950,snare
45000.0,97.000,",",-1,-1,1.000,separator
45000.0,97.000,1000,4,2,0.950,kick
45468.75,98.000,0100,4,2,0.950,snare
45937.5,99.000,0010,4,2,0.950,kick
46406.25,100.000,0001,4,2,0.950,snare
46875.0,101.000,",",-1,-1,1.000,separator
46875.0,101.000,1000,4,2,0.950,kick
47343.75,102.000,0010,4,2,0.950,snare
47812.5,103.000,0100,4,2,0.950,kick
48281.25,104.000,0001,4,2,0.950,snare
48750.0,105.000,",",-1,-1,1.000,separator
48750.0,105.000,0100,4,2,0.950,kick
49218.75,106.000,1000,4,2,0.950,snare
49687.5,107.000,0001,4,2,0.950,kick
50156.25,108.000,0010,4,2,0.950,snare
50625.0,109.000,",",-1,-1,1.000,separator
50625.0,109.000,0001,4,2,0.950,kick
51093.75,110.000,0010,4,2,0.950,snare
51562.5,111.000,1000,4,2,0.950,kick
52031.25,112.000,0100,4,2,0.950,snare
52500.0,113.000,",",-1,-1,1.000,separator
52500.0,113.000,1000,4,2,0.950,kick
52968.75,114.000,0100,4,2,0.950,snare
53437.5,115.000,0010,4,2,0.950,kick
53906.25,116.000,0001,4,2,0.950,snare
54375.0,117.000,",",-1,-1,1.000,separator
54375.0,117.000,1000,4,2,0.950,kick
54843.75,118.000,0010,4,2,0.950,snare
55312.5,119.000,0100,4,2,0.950,kick
55781.25,120.000,0001,4,2,0.950,snare
56250.0,121.000,",",-1,-1,1.000,separator
56250.0,121.000,0100,4,2,0.950,kick
56718.75,122.000,1000,4,2,0.950,snare
57187.5,123.000,0001,4,2,0.950,kick
57656.25,124.000,0010,4,2,0.950,snare
58125.0,125.000,",",-1,-1,1.000,separator
58125.0,125.000,0001,4,2,0.950,kick
58593.75,126.000,0010,4,2,0.950,snare
59062.5,127.000,1000,4,2,0.950,kick
59531.25,128.000,0100,4,2,0.950,snare
60000.0,129.000,",",-1,-1,1.000,separator
60000.0,129.000,1000,4,2,0.950,kick
60468.75,130.000,0100,4,2,0.950,kick
60937.5,131.000,0010,4,2,0.950,kick
61406.25,132.000,0001,4,2,0.950,kick
61875.0,133.000,",",-1,-1,1.000,separator
61875.0,133.000,0100,4,2,0.950,kick
62343.75,134.000,1000,4,2,0.950,kick
62812.5,135.000,0001,4,2,0.950,kick
63281.25,136.000,0010,4,2,0.950,kick
63750.0,137.000,",",-1,-1,1.000,separator
63750.0,137.000,0010,4,2,0.950,kick
64218.75,138.000,0001,4,2,0.950,kick
64687.5,139.000,1000,4,2,0.950,kick
65156.25,140.000,0100,4,2,0.950,kick
65625.0,141.000,",",-1,-1,1.000,separator
65625.0,141.000,0001,4,2,0.950,kick
66093.75,142.000,0010,4,2,0.950,kick
66562.5,143.000,0100,4,2,0.950,kick
67031.25,144.000,1000,4,2,0.950,kick
67500.0,145.000,",",-1,-1,1.000,separator
67500.0,145.000,1000,4,2,0.950,kick
67968.75,146.000,0100,4,2,0.950,kick
68437.5,147.000,0010,4,2,0.950,kick
68906.25,148.000,0001,4,2,0.950,kick
69375.0,149.000,",",-1,-1,1.000,separator
69375.0,149.000,0100,4,2,0.950,kick
69843.75,150.000,1000,4,2,0.950,kick
70312.5,151.000,0001,4,2,0.950,kick
70781.25,152.000,0010,4,2,0.950,kick
71250.0,153.000,",",-1,-1,1.000,separator
71250.0,153.000,0010,4,2,0.950,kick
71718.75,154.000,0001,4,2,0.950,kick
72187.5,155.000,1000,4,2,0.950,kick
72656.25,156.000,0100,4,2,0.950,kick
