time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
344.8,1.000,1000,1,2,0.900,kick
689.6,2.000,0010,2,2,0.800,snare
1034.4,3.000,0100,2,2,0.800,kick
1379.2,4.000,0001,2,2,0.800,snare
1380.0,4.000,",",-1,-1,1.000,separator
1724.1,5.000,1000,1,2,0.900,kick
1896.5,5.500,0100,3,3,0.700,bass
2068.9,6.000,0010,2,2,0.900,snare
2413.7,7.000,0001,2,2,0.800,kick
2586.2,7.500,0100,3,3,0.700,bass
2758.6,8.000,1001,2,2,0.900,snare
2760.0,8.000,",",-1,-1,1.000,separator
3103.4,9.000,0100,1,2,0.900,kick
3275.8,9.500,1000,3,3,0.700,synth
3448.2,10.000,0010,2,2,0.900,snare
3620.6,10.500,0001,3,3,0.700,synth
3793.1,11.000,0100,2,2,0.800,kick
3965.5,11.500,1000,3,3,0.700,synth
4137.9,12.000,0010,2,2,0.900,snare
4140.0,12.000,",",-1,-1,1.000,separator
4482.7,13.000,1001,1,2,0.900,kick
4655.1,13.500,0100,3,3,0.700,bass
4827.5,14.000,0010,2,2,0.900,snare
4999.9,14.500,0001,3,3,0.800,synth
5172.4,15.000,0100,2,2,0.800,kick
5344.8,15.500,1000,3,3,0.700,bass
5517.2,16.000,1001,2,2,0.900,snare
5520.0,16.000,",",-1,-1,1.000,separator
5862.0,17.000,0100,1,2,0.900,kick
6034.4,17.500,0001,3,3,0.700,hat
6206.8,18.000,0010,2,2,0.900,snare
6379.3,18.500,1000,3,3,0.700,hat
6551.7,19.000,0100,2,2,0.800,kick
6724.1,19.500,0010,3,3,0.800,hat
6896.5,20.000,1001,2,2,0.900,snare
6900.0,20.000,",",-1,-1,1.000,separator
7241.3,21.000,1000,1,2,0.900,kick
7413.7,21.500,0100,3,3,0.700,bass
7586.2,22.000,0010,2,2,0.900,snare
7758.6,22.500,0001,3,3,0.700,hat
7931.0,23.000,0100,2,2,0.800,kick
8103.4,23.500,1000,3,3,0.700,bass
8275.8,24.000,1001,2,2,0.900,snare
8280.0,24.000,",",-1,-1,1.000,separator
8620.6,25.000,0100,1,2,0.900,kick
8793.1,25.500,0010,3,3,0.700,hat
8965.5,26.000,1000,2,2,0.900,snare
9137.9,26.500,0001,3,3,0.700,hat
9310.3,27.000,0100,2,2,0.800,kick
9482.7,27.500,0010,3,3,0.700,bass
9655.1,28.000,1001,2,2,0.900,snare
9660.0,28.000,",",-1,-1,1.000,separator
10000.0,29.000,1000,1,2,0.900,kick
10172.4,29.500,0100,3,3,0.700,bass
10344.8,30.000,0010,2,2,0.900,snare
10517.2,30.500,0001,3,3,0.800,synth
10689.6,31.000,0100,2,2,0.800,kick
10862.0,31.500,1000,3,3,0.700,bass
11034.4,32.000,1001,2,2,0.900,snare
11040.0,32.000,",",-1,-1,1.000,separator
11379.3,33.000,0100,1,2,0.900,kick
11465.5,33.250,0010,3,3,0.600,hat
11551.7,33.500,0001,4,3,0.800,break
11724.1,34.000,1001,2,2,0.900,snare
11896.5,34.500,0100,4,3,0.800,kick
12068.9,35.000,0010,3,3,0.700,hat
12241.3,35.500,1000,4,3,0.800,kick
12413.7,36.000,0001,2,2,0.900,snare
12420.0,36.000,",",-1,-1,1.000,separator
12758.6,37.000,1000,1,2,0.900,kick
12931.0,37.500,0010,4,3,0.800,break
13103.4,38.000,0100,2,2,0.900,snare
13275.8,38.500,0001,4,3,0.700,hat
13448.2,39.000,0010,4,3,0.800,kick
13620.6,39.500,0100,3,3,0.700,bass
13793.1,40.000,1001,2,2,0.900,snare
13800.0,40.000,",",-1,-1,1.000,separator
14137.9,41.000,0100,1,2,0.900,kick
14224.1,41.250,1000,3,3,0.600,ghost
14310.3,41.500,0001,4,3,0.800,break
14482.7,42.000,0010,2,2,0.900,snare
14655.1,42.500,1000,4,3,0.800,kick
14827.5,43.000,0001,3,3,0.700,hat
15000.0,43.500,0100,4,3,0.800,kick
15172.4,44.000,1001,2,2,0.900,snare
15180.0,44.000,",",-1,-1,1.000,separator
15517.2,45.000,0010,1,2,0.900,kick
15689.6,45.500,1000,4,3,0.800,break
15862.0,46.000,0100,2,2,0.900,snare
16034.4,46.500,0001,3,3,0.700,hat
16206.8,47.000,1000,4,3,0.800,kick
16379.3,47.500,0010,3,3,0.700,bass
16551.7,48.000,1001,2,2,0.900,snare
16560.0,48.000,",",-1,-1,1.000,separator
16896.5,49.000,1000,1,2,0.900,kick
16982.7,49.250,0100,3,3,0.600,ghost
17068.9,49.500,0010,4,3,0.800,break
17241.3,50.000,0001,2,2,0.900,snare
17413.7,50.500,0100,4,3,0.800,kick
17586.2,51.000,1000,3,3,0.700,hat
17758.6,51.500,0010,4,3,0.800,kick
17931.0,52.000,1001,2,2,0.900,snare
