time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,1.000,kick
483.87,2.000,0001,4,2,0.900,kick
967.74,3.000,0100,4,2,1.000,kick
1451.61,4.000,0010,4,2,0.900,kick
1935.48,5.000,",",-1,-1,1.000,separator
1935.48,5.000,1000,4,2,1.000,kick
2419.35,6.000,0001,4,2,0.900,kick
2903.23,7.000,0100,4,2,1.000,kick
3387.1,8.000,0010,4,2,0.900,kick
3870.97,9.000,",",-1,-1,1.000,separator
3870.97,9.000,1000,4,2,1.000,kick
4354.84,10.000,0001,4,2,0.900,kick
4838.71,11.000,0100,4,2,1.000,kick
5322.58,12.000,0010,4,2,0.900,kick
5806.45,13.000,",",-1,-1,1.000,separator
5806.45,13.000,1000,4,2,1.000,kick
6290.32,14.000,0001,4,2,0.900,kick
6774.19,15.000,0100,4,2,1.000,kick
7258.06,16.000,0010,4,2,0.900,kick
7741.94,17.000,",",-1,-1,1.000,separator
7741.94,17.000,1000,4,2,1.000,kick
8225.81,18.000,0001,4,2,0.900,kick
8709.68,19.000,0100,4,2,1.000,kick
9193.55,20.000,0010,4,2,0.900,kick
9677.42,21.000,",",-1,-1,1.000,separator
9677.42,21.000,1000,4,2,1.000,kick
10161.29,22.000,0001,4,2,0.900,kick
10645.16,23.000,0100,4,2,1.000,kick
11129.03,24.000,0010,4,2,0.900,kick
11612.9,25.000,",",-1,-1,1.000,separator
11612.9,25.000,1000,4,2,1.000,kick
12096.77,26.000,0001,4,2,0.900,kick
12580.65,27.000,0100,4,2,1.000,kick
13064.52,28.000,0010,4,2,0.900,kick
13548.39,29.000,",",-1,-1,1.000,separator
13548.39,29.000,1000,4,2,1.000,kick
14032.26,30.000,0001,4,2,0.900,kick
14516.13,31.000,0100,4,2,1.000,kick
15000.0,32.000,0010,4,2,0.900,kick
15483.87,33.000,",",-1,-1,1.000,separator
15483.87,33.000,1000,4,2,1.000,kick
15725.81,33.500,0000,0,3,1.000,unknown
15967.74,34.000,0001,4,3,0.800,snare
16209.68,34.500,0010,3,3,0.700,synth
16451.61,35.000,0100,4,2,1.000,kick
16693.55,35.500,0000,0,3,1.000,unknown
16935.48,36.000,1001,4,3,0.900,snare
17177.42,36.500,0010,3,3,0.700,synth
17419.35,37.000,",",-1,-1,1.000,separator
17419.35,37.000,1000,4,2,1.000,kick
17661.29,37.500,0000,0,3,1.000,unknown
17903.23,38.000,0001,4,3,0.800,snare
18145.16,38.500,0100,3,3,0.700,synth
18387.1,39.000,0010,4,2,1.000,kick
18629.03,39.500,0000,0,3,1.000,unknown
18870.97,40.000,1001,4,3,0.900,snare
19112.9,40.500,0100,3,3,0.700,synth
19354.84,41.000,",",-1,-1,1.000,separator
19354.84,41.000,1000,4,2,1.000,kick
19596.77,41.500,0000,0,3,1.000,unknown
19838.71,42.000,0001,4,3,0.800,snare
20080.65,42.500,0010,3,3,0.700,synth
20322.58,43.000,0100,4,2,1.000,kick
20564.52,43.500,0000,0,3,1.000,unknown
20806.45,44.000,1001,4,3,0.900,snare
21048.39,44.500,0010,3,3,0.700,synth
21290.32,45.000,",",-1,-1,1.000,separator
21290.32,45.000,1000,4,2,1.000,kick
21532.26,45.500,0000,0,3,1.000,unknown
21774.19,46.000,0001,4,3,0.800,snare
22016.13,46.500,0100,3,3,0.700,synth
22258.06,47.000,0010,4,2,1.000,kick
22500.0,47.500,0000,0,3,1.000,unknown
22741.94,48.000,1001,4,3,0.900,snare
22983.87,48.500,0100,3,3,0.700,synth
23225.81,49.000,",",-1,-1,1.000,separator
23225.81,49.000,1000,4,2,1.000,kick
23467.74,49.500,0000,0,3,1.000,unknown
23709.68,50.000,0001,4,3,0.800,snare
23951.61,50.500,0010,3,3,0.700,synth
24193.55,51.000,0100,4,2,1.000,kick
24435.48,51.500,0000,0,3,1.000,unknown
24677.42,52.000,1001,4,3,0.900,snare
24919.35,52.500,0010,3,3,0.700,synth
25161.29,53.000,",",-1,-1,1.000,separator
25161.29,53.000,1000,4,2,1.000,kick
25403.23,53.500,0000,0,3,1.000,unknown
25645.16,54.000,0001,4,3,0.800,snare
25887.1,54.500,0100,3,3,0.700,synth
26129.03,55.000,0010,4,2,1.000,kick
26370.97,55.500,0000,0,3,1.000,unknown
26612.9,56.000,1001,4,3,0.900,snare
26854.84,56.500,0100,3,3,0.700,synth
27096.77,57.000,",",-1,-1,1.000,separator
27096.77,57.000,1000,4,2,1.000,kick
27338.71,57.500,0000,0,3,1.000,unknown
27580.65,58.000,0001,4,3,0.800,snare
27822.58,58.500,0010,3,3,0.700,synth
28064.52,59.000,0100,4,2,1.000,kick
28306.45,59.500,0000,0,3,1.000,unknown
28548.39,60.000,1001,4,3,0.900,snare
28790.32,60.500,0010,3,3,0.700,synth
29032.26,61.000,",",-1,-1,1.000,separator
29032.26,61.000,1000,4,2,1.000,kick
29274.19,61.500,0000,0,3,1.000,unknown
29516.13,62.000,0001,4,3,0.800,snare
29758.06,62.500,0100,3,3,0.700,synth
30000.0,63.000,0010,4,2,1.000,kick
30241.94,63.500,0000,0,3,1.000,unknown
30483.87,64.000,1001,4,3,0.900,snare
30725.81,64.500,0100,3,3,0.700,synth
30967.74,65.000,",",-1,-1,1.000,separator
30967.74,65.000,1000,4,2,1.000,kick
31209.68,65.500,0000,0,3,1.000,unknown
31451.61,66.000,0001,4,3,0.800,snare
31693.55,66.500,0010,3,3,0.700,synth
31935.48,67.000,0100,4,2,1.000,kick
32177.42,67.500,0000,0,3,1.000,unknown
32419.35,68.000,1001,4,3,0.900,snare
32661.29,68.500,0010,3,3,0.700,synth
32903.23,69.000,",",-1,-1,1.000,separator
32903.23,69.000,1000,4,2,1.000,kick
33145.16,69.500,0000,0,3,1.000,unknown
33387.1,70.000,0001,4,3,0.800,snare
33629.03,70.500,0100,3,3,0.700,synth
33870.97,71.000,0010,4,2,1.000,kick
34112.9,71.500,0000,0,3,1.000,unknown
34354.84,72.000,1001,4,3,0.900,snare
34596.77,72.500,0100,3,3,0.700,synth
34838.71,73.000,",",-1,-1,1.000,separator
34838.71,73.000,1000,4,2,1.000,kick
35080.65,73.500,0000,0,3,1.000,unknown
35322.58,74.000,0001,4,3,0.800,snare
35564.52,74.500,0010,3,3,0.700,synth
35806.45,75.000,0100,4,2,1.000,kick
36048.39,75.500,0000,0,3,1.000,unknown
36290.32,76.000,1001,4,3,0.900,snare
36532.26,76.500,0010,3,3,0.700,synth
36774.19,77.000,",",-1,-1,1.000,separator
36774.19,77.000,1000,4,2,1.000,kick
37016.13,77.500,0000,0,3,1.000,unknown
37258.06,78.000,0001,4,3,0.800,snare
37500.0,78.500,0100,3,3,0.700,synth
37741.94,79.000,0010,4,2,1.000,kick
37983.87,79.500,0000,0,3,1.000,unknown
38225.81,80.000,1001,4,3,0.900,snare
38467.74,80.500,0100,3,3,0.700,synth
38709.68,81.000,",",-1,-1,1.000,separator
38709.68,81.000,1000,4,2,1.000,kick
38951.61,81.500,0000,0,3,1.000,unknown
39193.55,82.000,0001,4,3,0.800,snare
39435.48,82.500,0010,3,3,0.700,synth
39677.42,83.000,0100,4,2,1.000,kick
39919.35,83.500,0000,0,3,1.000,unknown
40161.29,84.000,1001,4,3,0.900,snare
40403.23,84.500,0010,3,3,0.700,synth
40645.16,85.000,",",-1,-1,1.000,separator
40645.16,85.000,1000,4,2,1.000,kick
40887.1,85.500,0000,0,3,1.000,unknown
41129.03,86.000,0001,4,3,0.800,snare
41370.97,86.500,0100,3,3,0.700,synth
41612.9,87.000,0010,4,2,1.000,kick
41854.84,87.500,0000,0,3,1.000,unknown
42096.77,88.000,1001,4,3,0.900,snare
42338.71,88.500,0100,3,3,0.700,synth
42580.65,89.000,",",-1,-1,1.000,separator
42580.65,89.000,1000,4,2,1.000,kick
42822.58,89.500,0000,0,3,1.000,unknown
