Tokens for Kommisar - Springtime
Timestamp: 20260126201528
Shape: torch.Size([9679, 32])
----------------------------------------
Frame | Codebooks (0-31)
0     | 865  424  678  919  528  929  528  899  817  696  709  835  988  694  737  974  1019 890  566  560  251  623  317  582  636  721  624  464  627  490  670  953 
1     | 408  913  786  741  448  939  570  899  827  355  352  742  828  450  847  425  885  15   940  879  519  639  501  527  500  566  689  538  655  595  676  683 
2     | 408  913  786  673  448  939  900  518  301  963  364  840  828  784  847  425  670  1009 688  525  632  549  640  527  686  721  552  294  602  672  676  683 
3     | 62   424  786  741  622  986  1002 948  817  963  875  742  351  848  889  928  670  15   688  525  632  568  647  273  500  608  721  506  655  652  665  683 
4     | 232  713  700  123  1007 274  677  691  664  968  950  694  890  968  666  918  756  343  397  379  720  594  877  848  505  875  874  917  954  914  559  928 
5     | 353  210  454  809  836  975  748  832  739  979  314  892  486  687  737  187  579  203  469  708  869  672  285  290  598  898  510  690  706  909  658  820 
6     | 350  660  723  1014 577  839  301  1004 296  520  77   611  768  647  856  448  976  628  350  894  995  599  294  824  408  245  800  989  871  664  864  294 
7     | 223  354  698  502  289  406  100  863  812  505  811  761  456  217  321  955  612  254  835  670  751  608  372  798  460  923  499  956  922  638  618  486 
8     | 250  903  423  497  504  724  706  695  323  267  399  473  867  843  543  949  715  318  881  686  426  783  726  442  911  194  859  461  712  763  961  971 
9     | 621  571  163  115  22   641  1006 197  966  1017 49   97   858  594  895  511  718  796  464  987  457  646  220  485  542  510  381  434  623  1005 776  796 
10    | 384  93   48   20   779  326  745  208  482  256  263  979  560  880  919  406  423  283  402  706  737  735  1010 248  451  927  739  450  751  443  532  833 
11    | 365  860  254  736  595  436  504  235  195  1005 726  979  762  484  959  958  849  933  321  701  636  696  701  937  296  812  546  1005 1005 973  646  767 
12    | 210  521  999  108  833  337  442  40   998  576  806  940  776  628  1000 689  460  557  207  269  891  649  201  514  672  669  739  728  564  863  576  318 
13    | 443  908  402  118  345  289  709  727  111  126  449  292  538  316  959  569  583  130  874  480  337  588  466  992  976  610  739  701  601  907  420  812 
14    | 45   806  999  103  986  481  511  707  629  484  712  557  964  411  667  288  486  797  111  1021 508  680  1018 562  920  655  739  1001 375  311  596  954 
15    | 32   170  901  736  633  494  788  684  587  830  904  744  320  484  646  693  972  724  891  747  459  588  549  904  877  257  739  222  744  725  583  613 
16    | 7    989  901  925  428  451  741  804  846  713  614  661  1001 376  435  569  993  279  947  584  813  878  985  367  587  662  739  799  250  172  709  858 
17    | 7    785  901  450  767  24   484  642  707  1021 460  210  773  550  619  837  1002 563  732  992  316  668  276  266  638  297  739  628  864  244  713  687 
18    | 7    861  901  860  767  402  121  812  819  831  302  196  1002 403  590  689  822  88   491  429  765  503  724  294  955  360  739  688  695  262  237  868 
19    | 474  1013 381  231  246  653  608  734  145  612  683  539  463  878  527  707  75   949  926  396  382  411  610  669  538  860  739  962  950  638  562  925 
20    | 41   864  484  499  830  756  891  952  99   690  302  817  649  564  396  550  123  832  563  466  967  199  995  706  668  780  739  760  757  471  546  612 
21    | 1003 1014 753  992  152  620  725  330  774  848  359  396  397  631  710  447  629  441  891  533  446  431  975  303  848  776  739  815  299  852  680  905 
22    | 41   1014 137  415  151  558  281  728  465  307  812  1005 928  332  785  640  606  676  755  743  588  938  971  724  910  838  739  962  324  959  787  483 
23    | 759  1014 688  992  861  931  120  403  415  895  353  995  453  925  470  501  962  29   505  938  865  666  862  933  899  851  739  515  773  872  550  878 
